sno,tiktoker_name,tiktok_name,subscribers,views_avg,likes_avg,comments_avg,shares_avg,subscribers_count,rank,views_average,likes_average,comments_average,shares_average,row-cell,followers,views_(avg),likes_(avg),comments_(avg),shares_(avg),influencer_name
1.0,jypestraykids,Stray Kids,0,0.0,0.0,0.0,0.0,,500.5,,,,,500.5,,0.0,0.0,0.0,0.0,Unknown
2.0,khaby.lame,Khabane lame,0,0.0,0.0,0.0,0.0,,500.5,,,,,500.5,,0.0,0.0,0.0,0.0,Unknown
3.0,scarlettsspam2,scarlett,0,0.0,0.0,0.0,0.0,,500.5,,,,,500.5,,0.0,0.0,0.0,0.0,Unknown
4.0,addisonre,Addison Rae,0,0.0,0.0,0.0,0.0,,500.5,,,,,500.5,,0.0,0.0,0.0,0.0,Unknown
5.0,belindatok,Belinda,0,0.0,0.0,0.0,0.0,,500.5,,,,,500.5,,0.0,0.0,0.0,0.0,Unknown
6.0,onwardwanna,Wanna🥊,0,0.0,0.0,0.0,0.0,,500.5,,,,,500.5,,0.0,0.0,0.0,0.0,Unknown
7.0,therock,The Rock,0,0.0,0.0,0.0,0.0,,500.5,,,,,500.5,,0.0,0.0,0.0,0.0,Unknown
8.0,bizarrap,bzrp,0,0.0,0.0,0.0,0.0,,500.5,,,,,500.5,,0.0,0.0,0.0,0.0,Unknown
9.0,landonbarkerr,Landon Barker,0,0.0,0.0,0.0,0.0,,500.5,,,,,500.5,,0.0,0.0,0.0,0.0,Unknown
10.0,mrbeast,MrBeast,0,0.0,0.0,0.0,0.0,,500.5,,,,,500.5,,0.0,0.0,0.0,0.0,Unknown
11.0,charlidamelio,charli d’amelio,0,0.0,0.0,0.0,0.0,,500.5,,,,,500.5,,0.0,0.0,0.0,0.0,Unknown
12.0,amauryguichon,Amaury Guichon,0,0.0,0.0,0.0,0.0,,500.5,,,,,500.5,,0.0,0.0,0.0,0.0,Unknown
13.0,jetbentlee,Jet,0,0.0,0.0,0.0,0.0,,500.5,,,,,500.5,,0.0,0.0,0.0,0.0,Unknown
14.0,kervo.dolo,Kervo.dolo,0,0.0,0.0,0.0,0.0,,500.5,,,,,500.5,,0.0,0.0,0.0,0.0,Unknown
15.0,ttdramanews,TT Drama Layla,0,0.0,0.0,0.0,0.0,,500.5,,,,,500.5,,0.0,0.0,0.0,0.0,Unknown
16.0,mishayoung,Миша Городецкий 🇺🇦,0,0.0,0.0,0.0,0.0,,500.5,,,,,500.5,,0.0,0.0,0.0,0.0,Unknown
17.0,domelipa,domelipa,0,0.0,0.0,0.0,0.0,,500.5,,,,,500.5,,0.0,0.0,0.0,0.0,Unknown
18.0,kyliejenner,Kylie Jenner,0,0.0,0.0,0.0,0.0,,500.5,,,,,500.5,,0.0,0.0,0.0,0.0,Unknown
19.0,enhypen,enhypen,0,0.0,0.0,0.0,0.0,,500.5,,,,,500.5,,0.0,0.0,0.0,0.0,Unknown
20.0,kimberly.loaiza,Kimberly Loaiza,0,0.0,0.0,0.0,0.0,,500.5,,,,,500.5,,0.0,0.0,0.0,0.0,Unknown
21.0,ramonvitor,ramonvitor,0,0.0,0.0,0.0,0.0,,500.5,,,,,500.5,,0.0,0.0,0.0,0.0,Unknown
22.0,txt.bighitent,TOMORROW X TOGETHER,0,0.0,0.0,0.0,0.0,,500.5,,,,,500.5,,0.0,0.0,0.0,0.0,Unknown
23.0,emraynea,emraynea,0,0.0,0.0,0.0,0.0,,500.5,,,,,500.5,,0.0,0.0,0.0,0.0,Unknown
24.0,bp_tiktok,blackpinkofficial,0,0.0,0.0,0.0,0.0,,500.5,,,,,500.5,,0.0,0.0,0.0,0.0,Unknown
25.0,mtarek.official3,Mohamed Tarek - محمد طارق,0,0.0,0.0,0.0,0.0,,500.5,,,,,500.5,,0.0,0.0,0.0,0.0,Unknown
26.0,zeth,Zeth,0,0.0,0.0,0.0,0.0,,500.5,,,,,500.5,,0.0,0.0,0.0,0.0,Unknown
27.0,kurtsworld,Kurt Kunkle,0,0.0,0.0,0.0,0.0,,500.5,,,,,500.5,,0.0,0.0,0.0,0.0,Unknown
28.0,joshtgodfrey,Josh Godfrey,0,0.0,0.0,0.0,0.0,,500.5,,,,,500.5,,0.0,0.0,0.0,0.0,Unknown
29.0,justinflom,JustinFlom,0,0.0,0.0,0.0,0.0,,500.5,,,,,500.5,,0.0,0.0,0.0,0.0,Unknown
